sample,adc_value,voltage_V
1,1071,0.8631
2,1069,0.8615
3,1981,1.5964
4,2069,1.6673
5,1587,1.2789
6,1718,1.3845
7,1782,1.4360
8,1823,1.4691
9,1865,1.5029
10,1885,1.5190
