sample,adc_value,voltage_V
1,1453,1.1709
2,1422,1.1459
3,1436,1.1572
4,1479,1.1919
5,1493,1.2032
6,1495,1.2048
7,1497,1.2064
8,1287,1.0371
9,1323,1.0662
10,1337,1.0774
