sample,adc_value,voltage_V
1,3385,2.7278
2,3443,2.7746
3,3482,2.8060
4,3081,2.4829
5,3299,2.6585
6,2869,2.3120
7,2908,2.3434
8,2729,2.1992
9,2699,2.1750
10,1435,1.1564
